,scheduleStrength
93,3.535109651793942
167,-2.982332702045849
1816,-0.8947154788451468
2169,-2.288618755170113
2175,-1.9313283723253316
2177,1.2158880431707213
2264,-0.018734717566569574
2503,-2.603348397940554
2526,-1.5898356770191089
2823,-7.234241787645532
2861,-1.5350230551631054
3058,3.191156093824902
3100,4.71490122256216
3102,-2.9407105980260173
3122,-0.18356828549411752
3134,-0.19675121575182253
3267,-7.090409765396668
3275,0.2779491101261655
3291,-3.3597791331448144
3294,4.159001725648588
3740,-3.208364646792632
3754,6.348143192173544
3755,2.5544442622147288
4009,-1.5139028100338772
4166,-0.42151164621654164
4181,-2.5326434998908534
4217,0.0493112615480658
4230,3.224998531672457
4238,-4.773493998168953
4480,4.157227929200209
4511,-1.6871305552252456
4674,-5.828194721646853
4728,-2.565162814091022
4741,-1.8109154737908442
4845,-1.813466396830734
5253,7.065034932005653
5290,4.54428685044853
5348,3.3248920940638524
5464,4.997167082793555
5542,1.774228518541426
5576,0.7700221013822959
5586,4.21803805443372
5653,0.20115321760785534
5690,3.9613627630372523
5826,-1.6234927363206804
5991,1.244527207108982
5999,-0.4830920258473326
6022,-3.371424394544185
6045,-2.373579356695066
6047,-2.7374778823322234
6146,-0.01771343994488856
6160,0.8129602365951532
6217,-3.2528427525813512
6318,2.5626920563173616
6453,0.6146955760296342
6628,3.0015340990420167
7041,1.8015732986147717
7068,-0.9579412667050988
7797,2.621149538046901
7864,-5.800205002198303
7893,2.389284286978784
8372,1.5188209439871967
8416,0.5979398817987228
